[S-11C] [Kaldi] [4] [0.10139860139860139] S:[33], I:[2], D:[23]
[S-11C] [Google] [5] [0.22286821705426357] S:[58], I:[3], D:[54]
[S-11C] [Kaldi] [5] [0.1124031007751938] S:[29], I:[8], D:[21]
[S-11C] [Google] [6] [0.2843601895734597] S:[33], I:[1], D:[26]
[S-11C] [Kaldi] [6] [0.1990521327014218] S:[26], I:[4], D:[12]
[S-11C] [Google] [7] [0.2596899224806202] S:[36], I:[1], D:[30]
[S-11C] [Kaldi] [7] [0.12403100775193798] S:[19], I:[0], D:[13]
[S-11C] [Google] [8] [0.2571428571428571] S:[13], I:[1], D:[13]
[S-11C] [Kaldi] [8] [0.18095238095238095] S:[10], I:[5], D:[4]
[S-16D] [Google] [0] [0.2588996763754045] S:[43], I:[2], D:[35]
[S-16D] [Kaldi] [0] [0.22653721682847897] S:[49], I:[8], D:[13]
[S-16D] [Google] [1] [0.21936758893280633] S:[45], I:[1], D:[65]
[S-16D] [Kaldi] [1] [0.18972332015810275] S:[61], I:[8], D:[27]
[S-16D] [Google] [2] [0.27181208053691275] S:[30], I:[1], D:[50]
[S-16D] [Kaldi] [2] [0.23825503355704697] S:[49], I:[7], D:[15]
[S-16D] [Google] [3] [0.2125506072874494] S:[45], I:[2], D:[58]
[S-16D] [Kaldi] [3] [0.15991902834008098] S:[48], I:[12], D:[19]
[S-16D] [Google] [4] [0.2524752475247525] S:[37], I:[2], D:[63]
[S-16D] [Kaldi] [4] [0.1806930693069307] S:[51], I:[2], D:[20]
[S-16D] [Google] [5] [0.24414715719063546] S:[27], I:[1], D:[45]
[S-16D] [Kaldi] [5] [0.22742474916387959] S:[51], I:[7], D:[10]
[S-16D] [Google] [6] [0.4] S:[16], I:[0], D:[32]
[S-16D] [Kaldi] [6] [0.3416666666666667] S:[24], I:[8], D:[9]
[S-16D] [Google] [7] [0.3103448275862069] S:[6], I:[1], D:[11]
[S-16D] [Kaldi] [7] [0.27586206896551724] S:[13], I:[2], D:[1]
[S-16D] [Google] [8] [0.26119402985074625] S:[14], I:[0], D:[21]
[S-16D] [Kaldi] [8] [0.1791044776119403] S:[16], I:[1], D:[7]
